,author,nb_books,language,nb_books_lang
0,Various,3593,it,21
1,Various,3593,hu,4
2,Various,3593,en,3257
3,Various,3593,eo,1
4,Various,3593,es,1
5,Various,3593,fi,20
6,Various,3593,fr,261
7,Various,3593,la,1
8,Various,3593,nl,3
9,Various,3593,ru,1
10,Various,3593,sv,10
11,Various,3593,zh,3
12,Various,3593,de,10
13,Anonymous,805,hu,1
14,Anonymous,805,zh,15
15,Anonymous,805,de,8
16,Anonymous,805,en,660
17,Anonymous,805,eo,1
18,Anonymous,805,es,12
19,Anonymous,805,fi,14
20,Anonymous,805,fr,35
21,Anonymous,805,it,1
22,Anonymous,805,iu,1
23,Anonymous,805,la,6
24,Anonymous,805,nl,34
25,Anonymous,805,pt,13
26,Anonymous,805,sv,2
27,Anonymous,805,tl,2
28,"Shakespeare, William",328,el,7
29,"Shakespeare, William",328,en,195
30,"Shakespeare, William",328,la,1
31,"Shakespeare, William",328,de,23
32,"Shakespeare, William",328,ca,3
33,"Shakespeare, William",328,es,3
34,"Shakespeare, William",328,eo,3
35,"Shakespeare, William",328,nl,12
36,"Shakespeare, William",328,fi,36
37,"Shakespeare, William",328,fr,42
38,"Shakespeare, William",328,it,1
39,"Shakespeare, William",328,pl,1
40,"Shakespeare, William",328,pt,1
41,"Twain, Mark",228,fr,1
42,"Twain, Mark",228,en,210
43,"Twain, Mark",228,ca,1
44,"Twain, Mark",228,de,1
45,"Twain, Mark",228,nl,1
46,"Twain, Mark",228,eo,2
47,"Twain, Mark",228,fi,12
48,"Lytton, Edward Bulwer Lytton, Baron",220,fi,3
49,"Lytton, Edward Bulwer Lytton, Baron",220,en,216
50,"Lytton, Edward Bulwer Lytton, Baron",220,fr,1
51,"Dickens, Charles",180,en,146
52,"Dickens, Charles",180,es,2
53,"Dickens, Charles",180,de,3
54,"Dickens, Charles",180,eo,1
55,"Dickens, Charles",180,fi,9
56,"Dickens, Charles",180,fr,14
57,"Dickens, Charles",180,nl,5
58,"Ebers, Georg",173,nl,6
59,"Ebers, Georg",173,en,164
60,"Ebers, Georg",173,fi,3
61,"Verne, Jules",165,de,5
62,"Verne, Jules",165,fi,17
63,"Verne, Jules",165,da,1
64,"Verne, Jules",165,pt,2
65,"Verne, Jules",165,en,66
66,"Verne, Jules",165,el,2
67,"Verne, Jules",165,fr,44
68,"Verne, Jules",165,is,1
69,"Verne, Jules",165,it,1
70,"Verne, Jules",165,nl,26
71,"Balzac, Honoré de",149,fr,13
72,"Balzac, Honoré de",149,fi,8
73,"Balzac, Honoré de",149,en,126
74,"Balzac, Honoré de",149,de,2
75,Unknown,144,en,122
76,Unknown,144,zh,11
77,Unknown,144,pt,7
78,Unknown,144,it,1
79,Unknown,144,fr,1
80,Unknown,144,de,2
81,"Dumas, Alexandre",143,en,63
82,"Dumas, Alexandre",143,es,1
83,"Dumas, Alexandre",143,eo,1
84,"Dumas, Alexandre",143,fi,18
85,"Dumas, Alexandre",143,fr,54
86,"Dumas, Alexandre",143,it,5
87,"Dumas, Alexandre",143,nl,1
88,"Doyle, Arthur Conan",134,da,1
89,"Doyle, Arthur Conan",134,fr,6
90,"Doyle, Arthur Conan",134,es,1
91,"Doyle, Arthur Conan",134,fi,14
92,"Doyle, Arthur Conan",134,en,108
93,"Doyle, Arthur Conan",134,ia,1
94,"Doyle, Arthur Conan",134,nl,2
95,"Doyle, Arthur Conan",134,pl,1
96,"Parker, Gilbert",134,en,134
97,"Kingston, William Henry Giles",133,en,133
98,"Jókai, Mór",131,hu,90
99,"Jókai, Mór",131,fi,13
100,"Jókai, Mór",131,en,28
101,"Fenn, George Manville",128,en,128
102,"Oliphant, Mrs. (Margaret)",115,en,115
103,"Meredith, George",112,en,112
104,"Jacobs, W. W. (William Wymark)",111,en,111
105,"Henty, G. A. (George Alfred)",109,fi,1
106,"Henty, G. A. (George Alfred)",109,en,108
107,"Howells, William Dean",108,fr,1
108,"Howells, William Dean",108,en,107
109,"Alger, Horatio, Jr.",105,en,105
110,"Stevenson, Robert Louis",104,es,2
111,"Stevenson, Robert Louis",104,de,1
112,"Stevenson, Robert Louis",104,en,90
113,"Stevenson, Robert Louis",104,eo,1
114,"Stevenson, Robert Louis",104,no,1
115,"Stevenson, Robert Louis",104,fi,7
116,"Stevenson, Robert Louis",104,fr,2
117,"Motley, John Lothrop",103,en,103
118,"Wells, H. G. (Herbert George)",103,fr,1
119,"Wells, H. G. (Herbert George)",103,fi,12
120,"Wells, H. G. (Herbert George)",103,en,89
121,"Wells, H. G. (Herbert George)",103,nl,1
122,"London, Jack",102,hu,1
123,"London, Jack",102,fi,35
124,"London, Jack",102,en,64
125,"London, Jack",102,nl,2
126,"Zola, Émile",101,fr,30
127,"Zola, Émile",101,fi,14
128,"Zola, Émile",101,en,52
129,"Zola, Émile",101,nl,5
130,"Ballantyne, R. M. (Robert Michael)",100,en,100
131,"Hawthorne, Nathaniel",99,en,96
132,"Hawthorne, Nathaniel",99,es,2
133,"Hawthorne, Nathaniel",99,eo,1
134,"Baum, L. Frank (Lyman Frank)",99,en,98
135,"Baum, L. Frank (Lyman Frank)",99,eo,1
136,"Scott, Walter",96,it,7
137,"Scott, Walter",96,fr,7
138,"Scott, Walter",96,en,65
139,"Scott, Walter",96,nl,3
140,"Scott, Walter",96,fi,14
141,"Tolstoy, Leo, graf",90,fr,7
142,"Tolstoy, Leo, graf",90,de,7
143,"Tolstoy, Leo, graf",90,el,1
144,"Tolstoy, Leo, graf",90,en,49
145,"Tolstoy, Leo, graf",90,fi,22
146,"Tolstoy, Leo, graf",90,nl,2
147,"Tolstoy, Leo, graf",90,ru,1
148,"Tolstoy, Leo, graf",90,tl,1
149,"Pepys, Samuel",87,en,87
150,"James, Henry",86,en,86
151,"Trollope, Anthony",85,en,85
152,"Sand, George",83,fr,72
153,"Sand, George",83,en,8
154,"Sand, George",83,fi,3
155,"Kipling, Rudyard",81,fr,4
156,"Kipling, Rudyard",81,fi,7
157,"Kipling, Rudyard",81,eo,1
158,"Kipling, Rudyard",81,en,69
159,"Goethe, Johann Wolfgang von",80,de,46
160,"Goethe, Johann Wolfgang von",80,eo,2
161,"Goethe, Johann Wolfgang von",80,el,2
162,"Goethe, Johann Wolfgang von",80,en,16
163,"Goethe, Johann Wolfgang von",80,fi,9
164,"Goethe, Johann Wolfgang von",80,fr,4
165,"Goethe, Johann Wolfgang von",80,fur,1
166,"Lang, Andrew",79,en,79
167,"Stratemeyer, Edward",79,en,79
168,"Le Queux, William",77,es,1
169,"Le Queux, William",77,en,76
170,Library of Congress. Copyright Office,76,en,76
171,"Churchill, Winston",75,fi,1
172,"Churchill, Winston",75,en,74
173,"Defoe, Daniel",75,fr,5
174,"Defoe, Daniel",75,eo,1
175,"Defoe, Daniel",75,fi,2
176,"Defoe, Daniel",75,de,1
177,"Defoe, Daniel",75,la,1
178,"Defoe, Daniel",75,nl,3
179,"Defoe, Daniel",75,en,62
180,"Maupassant, Guy de",74,fr,31
181,"Maupassant, Guy de",74,fi,7
182,"Maupassant, Guy de",74,en,36
183,Human Genome Project,73,en,73
184,"Conrad, Joseph",72,fi,2
185,"Conrad, Joseph",72,en,70
186,"MacDonald, George",71,en,71
187,"Wharton, Edith",68,eo,1
188,"Wharton, Edith",68,en,62
189,"Wharton, Edith",68,fr,4
190,"Wharton, Edith",68,fi,1
191,"Haggard, H. Rider (Henry Rider)",68,en,60
192,"Haggard, H. Rider (Henry Rider)",68,fr,1
193,"Haggard, H. Rider (Henry Rider)",68,fi,5
194,"Haggard, H. Rider (Henry Rider)",68,nl,1
195,"Haggard, H. Rider (Henry Rider)",68,pt,1
196,"Hope, Laura Lee",67,en,67
197,"Sue, Eugène",67,en,46
198,"Sue, Eugène",67,es,1
199,"Sue, Eugène",67,fr,20
200,"Cervantes Saavedra, Miguel de",66,es,5
201,"Cervantes Saavedra, Miguel de",66,de,1
202,"Cervantes Saavedra, Miguel de",66,en,55
203,"Cervantes Saavedra, Miguel de",66,fi,1
204,"Cervantes Saavedra, Miguel de",66,fr,3
205,"Cervantes Saavedra, Miguel de",66,nl,1
206,"Hume, Fergus",66,en,66
207,"Wilde, Oscar",66,fi,4
208,"Wilde, Oscar",66,el,2
209,"Wilde, Oscar",66,en,42
210,"Wilde, Oscar",66,eo,1
211,"Wilde, Oscar",66,de,2
212,"Wilde, Oscar",66,fr,9
213,"Wilde, Oscar",66,it,1
214,"Wilde, Oscar",66,nl,5
215,"Thackeray, William Makepeace",66,fr,2
216,"Thackeray, William Makepeace",66,fi,2
217,"Thackeray, William Makepeace",66,en,62
218,"Yonge, Charlotte M. (Charlotte Mary)",66,en,65
219,"Yonge, Charlotte M. (Charlotte Mary)",66,fi,1
220,Plato,66,la,2
221,Plato,66,fi,5
222,Plato,66,en,30
223,Plato,66,el,28
224,Plato,66,de,1
225,"Ellis, Edward Sylvester",64,en,63
226,"Ellis, Edward Sylvester",64,fi,1
227,"Burroughs, Edgar Rice",64,fi,2
228,"Burroughs, Edgar Rice",64,eo,1
229,"Burroughs, Edgar Rice",64,en,61
230,"Harte, Bret",64,eo,1
231,"Harte, Bret",64,en,60
232,"Harte, Bret",64,es,1
233,"Harte, Bret",64,fi,2
234,"Oppenheim, E. Phillips (Edward Phillips)",61,ja,1
235,"Oppenheim, E. Phillips (Edward Phillips)",61,en,60
236,Dante Alighieri,61,de,1
237,Dante Alighieri,61,fr,3
238,Dante Alighieri,61,es,1
239,Dante Alighieri,61,fi,5
240,Dante Alighieri,61,en,36
241,Dante Alighieri,61,fur,4
242,Dante Alighieri,61,it,8
243,Dante Alighieri,61,nl,3
244,"Reid, Mayne",61,fi,5
245,"Reid, Mayne",61,en,52
246,"Reid, Mayne",61,fr,4
247,"Optic, Oliver",61,en,61
248,"Baring-Gould, S. (Sabine)",60,en,60
249,"Alcott, Louisa May",60,en,48
250,"Alcott, Louisa May",60,eo,1
251,"Alcott, Louisa May",60,fi,7
252,"Alcott, Louisa May",60,nl,4
253,"Wells, Carolyn",60,en,60
254,"France, Anatole",60,en,35
255,"France, Anatole",60,fr,19
256,"France, Anatole",60,fi,6
257,"Meade, L. T.",59,en,59
258,"Hugo, Victor",58,fr,27
259,"Hugo, Victor",58,en,20
260,"Hugo, Victor",58,fi,5
261,"Hugo, Victor",58,nl,5
262,"Hugo, Victor",58,pt,1
263,"Molesworth, Mrs.",58,en,58
264,"Hardy, Thomas",58,en,56
265,"Hardy, Thomas",58,fi,2
266,"Strindberg, August",58,de,6
267,"Strindberg, August",58,en,25
268,"Strindberg, August",58,fi,16
269,"Strindberg, August",58,sv,11
270,"Schiller, Friedrich",58,fi,8
271,"Schiller, Friedrich",58,de,14
272,"Schiller, Friedrich",58,fr,1
273,"Schiller, Friedrich",58,en,35
274,"Shaw, Bernard",57,en,46
275,"Shaw, Bernard",57,de,5
276,"Shaw, Bernard",57,fi,5
277,"Shaw, Bernard",57,nl,1
278,"Ruskin, John",57,fr,1
279,"Ruskin, John",57,fi,3
280,"Ruskin, John",57,en,53
281,"Burnett, Frances Hodgson",57,fi,4
282,"Burnett, Frances Hodgson",57,en,53
283,"Chesterton, G. K. (Gilbert Keith)",57,pt,1
284,"Chesterton, G. K. (Gilbert Keith)",57,en,56
285,"Galsworthy, John",56,fi,3
286,"Galsworthy, John",56,en,53
287,"Abbott, Jacob",55,en,55
288,"Bennett, Arnold",55,fi,2
289,"Bennett, Arnold",55,en,53
290,"Lever, Charles James",55,en,55
291,"Huxley, Thomas Henry",54,en,53
292,"Huxley, Thomas Henry",54,de,1
293,"Blasco Ibáñez, Vicente",53,es,34
294,"Blasco Ibáñez, Vicente",53,en,15
295,"Blasco Ibáñez, Vicente",53,fr,4
296,"Marryat, Frederick",52,nl,3
297,"Marryat, Frederick",52,en,44
298,"Marryat, Frederick",52,fi,5
299,"Ibsen, Henrik",52,en,18
300,"Ibsen, Henrik",52,fi,12
301,"Ibsen, Henrik",52,eo,11
302,"Ibsen, Henrik",52,de,3
303,"Ibsen, Henrik",52,nl,2
304,"Ibsen, Henrik",52,no,6
305,"Warner, Charles Dudley",51,en,51
306,"Barbour, Ralph Henry",51,en,51
307,"James, G. P. R. (George Payne Rainsford)",50,en,50
308,"Castlemon, Harry",50,en,50
309,"Davis, Richard Harding",50,en,50
310,"Cooper, James Fenimore",49,fr,1
311,"Cooper, James Fenimore",49,fi,6
312,"Cooper, James Fenimore",49,en,41
313,"Cooper, James Fenimore",49,de,1
