,language,book_id
14,en,51916
21,fr,3212
20,fi,2314
12,de,1920
32,it,861
46,nl,834
17,es,707
51,pt,589
62,zh,439
28,hu,279
13,el,218
58,sv,210
16,eo,119
38,la,105
11,da,72
60,tl,59
7,ca,33
50,pl,31
34,ja,22
47,no,21
10,cy,12
9,cs,11
54,ru,9
0,af,8
31,is,7
27,he,7
22,fur,7
59,te,6
4,bg,6
15,enm,5
23,fy,4
57,sr,4
41,myn,3
53,ro,3
8,ceb,3
45,nav,3
24,ga,3
6,brx,2
40,mi,2
26,gla,2
25,gl,2
3,arp,2
30,ilo,2
1,ang,2
5,br,1
61,yi,1
2,ar,1
29,ia,1
56,sl,1
55,sa,1
52,rmr,1
37,ko,1
18,et,1
49,oji,1
48,oc,1
33,iu,1
19,fa,1
35,kha,1
44,nap,1
42,nah,1
36,kld,1
39,lt,1
43,nai,1
